#------------------------------------------------------------------------------
#  							リスポーン
#------------------------------------------------------------------------------
#------------------------------------------------------------------------------
#  使用するテクスチャのファイルパス名
#------------------------------------------------------------------------------
TEXTURE_FILENAME = data/TEXTURE/EFFECT/respawnEffect.png
#------------------------------------------------------------------------------
#  エミッタのデータ
#------------------------------------------------------------------------------
EMITTERSET
	TYPE = 1					# 使用するエフェクトの種類
	TEX_TYPE = 6				# テクスチャの番号
	EFFECT_TYPE = 0				# 使用するエフェクトの番号
	RANGE_MIN = 0.0 30.0 0.0		# エフェクトを放出する範囲の最小値
	RANGE_MAX = 0.0 50.0 0.0		# エフェクトを放出する範囲の最大値
	LIFE = 30					# エミッタの寿命
	LAP = 10						# １回の放出で出すエフェクトの個数
	APPEAR = 10					# エフェクトを出す間隔
	LOOP = 0					# ループするかしないか[ 0:なし 1:あり ]
END_EMITTERSET


#------------------------------------------------------------------------------
#  リングエフェクトのデータ
#------------------------------------------------------------------------------
RINGSET
	MAX_ROT = 0.0000 0.0000 0.0000			# 向きの最大値
	MIN_ROT = 0.0000 0.0000 0.0000			# 向きの最小値
	MAX_MOVE = 0.0000 0.0000 0.0000			# 移動量の最大値
	MIN_MOVE = 0.0000 0.0000 0.0000				# 移動量の最小値
	CHANGE_MOVE = 0.0000 0.0000 0.0000			# 移動量の変化量
	INIT_COL = 1.0000 1.0000 0.0000 0.1020			# 生成時の色
	CHANGE_COL = -0.0100 -0.0100 0.0200 -0.0100		# フレーム毎の色の変化量
	HEIGHT = 0.000000						# 高さ
	RADIUS = -60.000000						# 半径
	DIFFUSION = 10.000000						# 幅
	CHANGE_HEIGHT = 1.000000						# 高さを毎フレームどれくらい変化させる
	CHANGE_RADIUS = 5.000000						# 半径を毎フレームどれくらい変化させる
	CHANGE_DIFFUSION = -2.000000						# 幅を毎フレームどれくらい変化させる
	MAX_LIFE = 60						# 寿命の最大値
	MIN_LIFE = 50						# 寿命の最小値
	XBLOCK = 15						# 横の分割数
	YBLOCK = 3						# 縦の分割数
	ROT_PATTERN = 2						# 回転のパターン[ 0:時計回り 1:反時計回り 2:ランダム ]
	ROT_SPEED = 0.0000 0.2000 0.0000			# 回転のスピード
	CULLING = 0						# カリングするかしないか[ 0:なし 1:あり ]
	DRAW_ADDTIVE = 1					# 加算合成するかしないか[ 0:なし 1:あり ]
END_RINGSET
